,Id,Reputation,CreationDate,DisplayName,Views,UpVotes,DownVotes,AccountId
32,34,798,2010-07-20T19:13:36.783,Paul B,53,20,0,510204.0
33,35,1508,2010-07-20T19:14:45.970,workmad3,344,15,1,8817.0
34,36,113,2010-07-20T19:14:55.533,Nick Gotch,25,25,1,17203.0
35,37,1759,2010-07-20T19:14:55.563,cobbal,175,32,0,27790.0
36,38,3281,2010-07-20T19:15:29.773,John Gietzen,913,74,2,23210.0
37,39,131,2010-07-20T19:15:44.047,Bruno Loff,82,5,0,510205.0
38,40,623,2010-07-20T19:17:04.217,JonnyLitt,50,4,1,61074.0
39,41,308,2010-07-20T19:17:34.247,Michael Haren,141,19,2,21.0
40,43,573,2010-07-20T19:18:28.160,gprime,173,16,0,135063.0
41,44,1207,2010-07-20T19:18:39.377,IAE,110,17,0,124796.0
42,45,3746,2010-07-20T19:18:47.830,Sophie Alpert,1966,151,10,20630.0
43,46,101,2010-07-20T19:18:49.733,Bas Bossink,8,1,0,27947.0
44,47,101,2010-07-20T19:19:18.720,David Barry,13,0,0,74988.0
45,48,831,2010-07-20T19:19:56.347,bdonlan,61,13,0,16719.0
46,49,349,2010-07-20T19:20:21.523,FordBuchanan,18,3,0,141955.0
47,50,892,2010-07-20T19:20:25.783,Jan Gorzny,138,162,1,71338.0
48,51,13646,2010-07-20T19:21:33.223,Justin L.,2546,173,3,110659.0
49,52,428,2010-07-20T19:22:12.393,Elazar Leibovich,200,18,1,22376.0
50,53,151,2010-07-20T19:22:37.260,Brian R. Bondy,78,4,0,2279.0
51,54,373,2010-07-20T19:22:49.430,Chris S,71,17,0,11234.0
52,55,770,2010-07-20T19:22:49.943,Fanfan,116,10,2,21757.0
53,56,6184,2010-07-20T19:23:54.217,Noldorin,1802,187,37,19078.0
54,58,367,2010-07-20T19:25:17.987,user58,41,32,0,507301.0
55,59,3147,2010-07-20T19:26:06.223,e.James,223,105,0,15770.0
56,60,4274,2010-07-20T19:28:29.697,Anton Geraschenko,1227,47,2,36500.0
57,62,151,2010-07-20T19:29:05.013,Campadrenalin,23,10,0,449059.0
58,63,582,2010-07-20T19:30:37.553,Emil H,103,9,0,27818.0
59,64,273,2010-07-20T19:31:37.863,Bossykena,16,7,0,509052.0
60,65,101,2010-07-20T19:32:11.137,Sonia Balagopalan,222,5,0,508019.0
61,66,174,2010-07-20T19:33:32.023,Jon Bringhurst,53,9,0,37662.0
62,67,737,2010-07-20T19:33:50.337,Will Vousden,100,166,1,23406.0
63,68,101,2010-07-20T19:33:51.617,Fixpoint,13,17,0,4373.0
64,69,99,2010-07-20T19:35:11.007,Robert Cartaino,191,2,5,34933.0
65,71,123,2010-07-20T19:38:33.807,Coltin,14,19,0,25671.0
66,72,35106,2010-07-20T19:41:06.357,Isaac,6087,1561,31,110007.0
67,73,8913,2010-07-20T19:42:51.877,Larry Wang,2744,993,44,159604.0
68,75,101,2010-07-20T19:44:29.843,Michael Pryor,7,2,0,198.0
69,76,12214,2010-07-20T19:44:54.913,Jamie Banks,4602,305,18,235636.0
70,77,453,2010-07-20T19:46:22.087,Pieter,148,52,0,141374.0
71,78,101,2010-07-20T19:47:40.400,Rob Lachlan,4,4,0,531.0
72,79,101,2010-07-20T19:51:42.527,Giuseppe Accaputo,47,19,0,23132.0
73,80,4211,2010-07-20T19:53:23.177,Dan Piponi,873,99,30,71748.0
74,81,101,2010-07-20T19:53:39.370,dmcer,7,0,0,31505.0
75,82,1240,2010-07-20T19:56:08.320,Nick,198,21,2,5614.0
76,83,103,2010-07-20T19:56:53.840,Joel Spolsky,147,7,0,4.0
77,84,151,2010-07-20T20:03:39.113,Pieces,26,2,0,147037.0
78,85,1339,2010-07-20T20:07:23.347,Vivi,969,63,0,140962.0
79,86,233,2010-07-20T20:07:32.893,Amos,27,41,0,72973.0
80,87,101,2010-07-20T20:09:00.440,sblair,5,4,0,23139.0
81,88,479,2010-07-20T20:10:27.490,Dan Dumitru,464,34,2,26983.0
82,89,9311,2010-07-20T20:11:38.860,mau,1562,612,10,171629.0
83,90,153,2010-07-20T20:12:38.827,Agnel Kurian,18,5,0,19438.0
84,91,363,2010-07-20T20:13:03.473,Thomas Owens,304,4,2,445.0
85,92,1176,2010-07-20T20:14:52.470,badp,272,52,16,7936.0
86,93,101,2010-07-20T20:17:16.957,Jarrod Dixon,45,53,0,3.0
87,94,101,2010-07-20T20:23:24.133,Ashley Williams,13,2,0,486944.0
88,95,100,2010-07-20T20:23:47.427,rcs,11,1,1,57496.0
89,96,5528,2010-07-20T20:25:37.483,Chao Xu,2438,117,3,115791.0
90,97,2026,2010-07-20T20:32:57.387,Mehper C. Palavuzlar,647,622,1,65351.0
91,99,1222,2010-07-20T20:44:17.127,Jonathan Fischoff,734,99,5,81629.0
92,100,4447,2010-07-20T20:48:22.373,Charles Stewart,1292,233,13,78244.0
93,102,223,2010-07-20T20:50:08.783,c4il,70,7,0,83531.0
94,103,101,2010-07-20T20:51:49.993,Vadym Stetsiak,4,7,0,4585.0
95,104,3095,2010-07-20T20:55:40.483,Gordon Gustafson,879,108,0,32417.0
96,105,687,2010-07-20T20:58:04.427,Sami,119,13,1,68671.0
97,106,8471,2010-07-20T21:06:09.213,bryn,746,68,3,162049.0
98,107,100,2010-07-20T21:06:27.043,Gordon Wilson,14,9,3,11856.0
99,108,919,2010-07-20T21:06:54.327,Jacob,165,16,1,40749.0
