,CreationDate,Id,PostTypeId,Score,OwnerUserId,ParentId,AnswerCount,CommentCount,FavoriteCount,AcceptedAnswerId,PostLength,MathRatio
26,2010-07-20T19:32:21.590,40.0,2.0,15.0,38.0,20.0,,16.0,,,125.0,0.0
27,2010-07-20T19:32:44.553,41.0,2.0,20.0,19.0,11.0,,2.0,,,42.0,0.0
28,2010-07-20T19:33:50.870,42.0,2.0,,56.0,22.0,,7.0,,,100.0,0.67
29,2010-07-20T19:34:26.857,43.0,2.0,15.0,35.0,11.0,,2.0,,,67.0,0.1940298507462686
30,2010-07-20T19:35:09.227,44.0,2.0,191.0,52.0,11.0,,8.0,,,165.0,0.4545454545454545
31,2010-07-20T19:37:42.700,47.0,2.0,8.0,19.0,29.0,,0.0,,,33.0,0.0
32,2010-07-20T19:37:45.070,48.0,2.0,3.0,22.0,20.0,,1.0,,,85.0,0.0
33,2010-07-20T19:38:21.590,49.0,2.0,412.0,8.0,11.0,,2.0,,,180.0,1.05
34,2010-07-20T19:39:11.557,51.0,1.0,21.0,59.0,,3.0,3.0,12.0,109.0,65.0,0.0
35,2010-07-20T19:40:38.467,52.0,2.0,17.0,25.0,1.0,,0.0,,,340.0,0.3147058823529411
36,2010-07-20T19:40:39.277,53.0,2.0,5.0,16.0,22.0,,0.0,,,79.0,1.4050632911392404
37,2010-07-20T19:41:05.063,54.0,2.0,8.0,51.0,20.0,,5.0,,,351.0,0.0
38,2010-07-20T19:41:44.267,55.0,2.0,29.0,40.0,29.0,,2.0,,,57.0,0.0
39,2010-07-20T19:41:55.687,56.0,1.0,33.0,63.0,,3.0,1.0,12.0,,44.0,0.0
40,2010-07-20T19:42:33.500,57.0,1.0,14.0,44.0,,7.0,3.0,5.0,134.0,256.0,0.7265625
41,2010-07-20T19:43:20.457,58.0,1.0,45.0,5.0,,10.0,3.0,14.0,70.0,31.0,0.0
42,2010-07-20T19:43:30.097,59.0,1.0,10.0,24.0,,4.0,3.0,1.0,65.0,65.0,0.3230769230769231
43,2010-07-20T19:45:14.633,60.0,2.0,334.0,3.0,11.0,,6.0,,,162.0,0.845679012345679
44,2010-07-20T19:46:35.563,62.0,2.0,1.0,35.0,51.0,,1.0,,,115.0,0.1217391304347826
45,2010-07-20T19:46:38.047,63.0,2.0,2.0,37.0,58.0,,1.0,,,19.0,0.0
46,2010-07-20T19:47:08.217,64.0,2.0,1.0,56.0,51.0,,1.0,,,83.0,0.7951807228915663
47,2010-07-20T19:47:26.950,65.0,2.0,12.0,63.0,59.0,,0.0,,,107.0,0.205607476635514
48,2010-07-20T19:49:03.750,66.0,2.0,4.0,8.0,57.0,,1.0,,,119.0,0.0
49,2010-07-20T19:49:29.490,67.0,1.0,38.0,48.0,,3.0,0.0,14.0,72.0,26.0,0.0
50,2010-07-20T19:49:50.033,68.0,2.0,2.0,51.0,59.0,,0.0,,,188.0,0.0
51,2010-07-20T19:49:51.500,69.0,2.0,10.0,39.0,1.0,,0.0,,,256.0,0.4296875
52,2010-07-20T19:51:24.680,70.0,2.0,28.0,35.0,58.0,,0.0,,,15.0,0.0
53,2010-07-20T19:52:14.927,71.0,1.0,41.0,34.0,,8.0,2.0,16.0,78.0,65.0,0.0
54,2010-07-20T19:52:31.587,72.0,2.0,27.0,16.0,67.0,,3.0,,,29.0,0.0
55,2010-07-20T19:54:30.663,73.0,2.0,10.0,56.0,56.0,,3.0,,,107.0,0.0
56,2010-07-20T19:54:33.893,74.0,1.0,7.0,33.0,,1.0,6.0,2.0,1273.0,80.0,0.1625
57,2010-07-20T19:55:05.293,75.0,1.0,148.0,37.0,,6.0,2.0,72.0,80.0,22.0,0.0
58,2010-07-20T19:55:53.373,76.0,2.0,2.0,50.0,57.0,,2.0,,,173.0,0.0
59,2010-07-20T19:57:06.617,77.0,1.0,53.0,24.0,,4.0,0.0,29.0,85.0,21.0,0.0
60,2010-07-20T19:57:51.043,78.0,2.0,26.0,35.0,71.0,,6.0,,,147.0,0.0
61,2010-07-20T19:58:12.743,79.0,2.0,24.0,72.0,20.0,,3.0,,,337.0,0.0
62,2010-07-20T19:58:48.127,80.0,2.0,134.0,16.0,75.0,,9.0,,,82.0,0.0
63,2010-07-20T20:01:55.013,81.0,1.0,192.0,79.0,,22.0,7.0,166.0,,68.0,0.0
64,2010-07-20T20:04:19.563,82.0,2.0,17.0,50.0,81.0,,0.0,,,17.0,0.0
65,2010-07-20T20:04:20.733,83.0,1.0,64.0,24.0,,18.0,2.0,31.0,88.0,64.0,0.0
66,2010-07-20T20:05:03.633,84.0,2.0,10.0,11.0,77.0,,1.0,,,38.0,0.0
67,2010-07-20T20:05:31.633,85.0,2.0,85.0,51.0,77.0,,2.0,,,205.0,0.0
68,2010-07-20T20:09:05.667,86.0,2.0,33.0,76.0,56.0,,4.0,,,189.0,0.2222222222222222
69,2010-07-20T20:10:04.057,87.0,2.0,94.0,84.0,11.0,,1.0,,,51.0,0.0
70,2010-07-20T20:10:38.563,88.0,2.0,34.0,50.0,83.0,,1.0,,,56.0,0.0
71,2010-07-20T20:11:12.370,89.0,2.0,4.0,72.0,22.0,,0.0,,,94.0,0.9893617021276596
72,2010-07-20T20:11:37.703,90.0,1.0,46.0,34.0,,10.0,1.0,49.0,,131.0,0.0
73,2010-07-20T20:13:11.210,91.0,2.0,56.0,25.0,75.0,,4.0,,,203.0,0.0
74,2010-07-20T20:15:09.723,92.0,2.0,3.0,37.0,90.0,,1.0,,,27.0,0.0
75,2010-07-20T20:16:01.453,93.0,2.0,2.0,66.0,18.0,,0.0,,,30.0,1.8333333333333333
76,2010-07-20T20:16:09.050,94.0,2.0,9.0,79.0,90.0,,3.0,,,43.0,0.0
77,2010-07-20T20:17:42.790,95.0,2.0,4.0,49.0,90.0,,1.0,,,36.0,0.0
78,2010-07-20T20:18:49.590,96.0,2.0,37.0,82.0,81.0,,1.0,,,77.0,0.0
79,2010-07-20T20:20:22.223,97.0,1.0,21.0,92.0,,6.0,5.0,8.0,1224.0,98.0,0.0
80,2010-07-20T20:21:33.407,98.0,1.0,15.0,76.0,,3.0,1.0,4.0,106.0,77.0,0.0
81,2010-07-20T20:27:41.723,99.0,2.0,6.0,5.0,81.0,,0.0,,,27.0,0.0
82,2010-07-20T20:29:10.767,100.0,2.0,6.0,86.0,83.0,,1.0,,,146.0,0.0
83,2010-07-20T20:30:39.280,101.0,1.0,6.0,44.0,,2.0,7.0,,105.0,141.0,0.4822695035460992
84,2010-07-20T20:34:32.283,102.0,2.0,3.0,96.0,83.0,,3.0,,,84.0,0.0
85,2010-07-20T20:37:52.477,103.0,2.0,10.0,80.0,71.0,,0.0,,,105.0,0.0
86,2010-07-20T20:37:56.830,104.0,2.0,6.0,96.0,101.0,,0.0,,,50.0,0.0
87,2010-07-20T20:38:04.910,105.0,2.0,10.0,11.0,101.0,,0.0,,,57.0,0.0
88,2010-07-20T20:38:30.527,106.0,2.0,7.0,50.0,98.0,,0.0,,,39.0,0.0
89,2010-07-20T20:38:57.700,107.0,1.0,57.0,73.0,,10.0,9.0,19.0,1159.0,196.0,0.2602040816326531
90,2010-07-20T20:41:27.650,108.0,2.0,3.0,66.0,71.0,,0.0,,,54.0,0.0
91,2010-07-20T20:48:24.463,109.0,2.0,16.0,72.0,51.0,,0.0,,,391.0,1.0051150895140666
92,2010-07-20T20:48:39.627,110.0,2.0,43.0,92.0,11.0,,14.0,,,143.0,0.0
93,2010-07-20T20:51:07.517,112.0,1.0,8.0,82.0,,1.0,1.0,1.0,115.0,32.0,0.1875
94,2010-07-20T20:56:33.853,113.0,1.0,20.0,66.0,,4.0,7.0,10.0,130.0,113.0,0.9203539823008848
95,2010-07-20T20:57:00.700,114.0,2.0,5.0,96.0,107.0,,1.0,,,136.0,0.0
96,2010-07-20T21:02:32.183,115.0,2.0,11.0,51.0,112.0,,0.0,,,387.0,0.0
97,2010-07-20T21:02:52.433,116.0,2.0,184.0,72.0,11.0,,3.0,,,106.0,1.0377358490566038
98,2010-07-20T21:06:00.833,117.0,2.0,6.0,16.0,98.0,,2.0,,,55.0,0.0
99,2010-07-20T21:06:33.610,118.0,1.0,18.0,104.0,,9.0,2.0,9.0,125.0,29.0,0.0
